id,name,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,price,weekly_price,monthly_price,number_of_reviews,first_review,review_scores_rating,first_year
2384,Hyde Park - Walk to UChicago/Metra to McCormick Pl,1.0,Hyde Park,41.78886,-87.58671,Private room,50.0,350.00,1520.8333333333333,149,2015-01-09,100.0,2015
4505,We're back. 365 Great Reviews.  1 bad one.,1.0,South Lawndale,41.85495,-87.69696,Entire home/apt,117.0,925.00,3558.75,368,2009-03-06,96.0,2009
7126,Tiny Studio Apartment 94 Walk Score,0.0,West Town,41.90289,-87.68182,Entire home/apt,80.0,600.00,2433.3333333333335,338,2009-07-03,92.0,2009
9811,Barbara's Hideaway - Old Town,0.0,Lincoln Park,41.91769,-87.63788,Entire home/apt,150.0,1050.00,3400.00,35,2014-04-15,92.0,2014
10610,3 Comforts of Cooperative Living,0.0,Hyde Park,41.79708,-87.59195,Private room,35.0,235.00,805.00,38,2014-10-25,85.0,2014
10945,The Biddle House (#1),0.0,Lincoln Park,41.91183,-87.64,Entire home/apt,215.0,1509.1346153846155,6539.583333333333,9,2014-04-28,89.0,2014
12140,Lincoln Park Guest House,0.0,Lincoln Park,41.92335,-87.64951,Private room,289.0,2028.5576923076924,8790.416666666666,4,2015-06-29,100.0,2015
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,0.0,West Town,41.89617,-87.66041,Entire home/apt,99.0,694.9038461538462,2999.00,9,2013-12-08,93.0,2013
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,0.0,Lincoln Park,41.92679,-87.65521,Entire home/apt,99.0,694.9038461538462,3395.00,37,2010-05-24,85.0,2010
25269,"Old Town, Furnished 2 bedroom: SWG",0.0,Lincoln Park,41.91423,-87.63846,Entire home/apt,145.0,1017.7884615384615,4500.00,178,2010-06-11,86.0,2010
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,0.0,Lincoln Park,41.92693,-87.65753,Entire home/apt,99.0,694.9038461538462,3011.25,44,2010-06-14,86.0,2010
28749,3 bedroom Dramatic Bucktown LOFT,0.0,Logan Square,41.92083,-87.6801,Entire home/apt,450.0,1500.00,4500.00,47,2010-12-01,89.0,2010
37738,Andersonville - Perfect location!,1.0,Uptown,41.97385,-87.66539,Private room,77.0,450.00,1650.00,242,2010-07-20,100.0,2010
39742,Central guestroom! Walk everywhere!,1.0,Near North Side,41.89377,-87.63465,Private room,75.0,600.00,2500.00,467,2010-10-12,94.0,2010
44020,2 Bedroom 1 Block to Fullerton L - Garage Avail,0.0,Lincoln Park,41.92673,-87.65731,Entire home/apt,80.0,561.5384615384615,2433.3333333333335,51,2011-08-19,80.0,2011
46151, Furnished Junior 1 Bedroom :SW1R,0.0,Lincoln Park,41.91331,-87.63964,Entire home/apt,75.0,526.4423076923077,2281.25,233,2010-09-12,87.0,2010
46154,Old Town Lincoln Park studio: 2F,0.0,Lincoln Park,41.91287,-87.63979,Entire home/apt,65.0,456.25,1977.0833333333333,243,2010-09-29,89.0,2010
56802,Beautiful 2 BR Old Town Lincoln Pk,0.0,Lincoln Park,41.91264,-87.63979,Entire home/apt,155.0,1087.9807692307693,4714.583333333333,252,2011-01-01,89.0,2011
71930,"Rest, Relax and Explore",1.0,West Town,41.89687,-87.67989,Private room,59.0,400.00,1300.00,58,2011-05-23,96.0,2011
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,1.0,Uptown,41.96792,-87.65757,Private room,180.0,1200.00,5475.0,146,2011-03-21,96.0,2011
